Date,Brand-Names,Product-Description,Product-Types,Recall-Reason-Description,Company-Name,Terminated Recall
10/28/2022,Daiso,Tiramisu Twist Cookies,"Food & Beverages, Allergens, Bakery Product/Mix",Undeclared almonds and hazelnuts,Daiso California LLC,
11/01/2022,Cedar Creek Popcorn,Old-Fashioned Caramel Holiday Popcorn Box,"Food & Beverages, Allergens, Snack Food Item",Undeclared Wheat,Cedar Creek Popcorn,
11/03/2022,Kalera,Fresh Lettuce Products,"Food & Beverages, Foodborne Illness",Salmonella,Kalera Public Limited Company,
11/29/2022,Exela,"Sodium Bicarbonate Injection, USP, 8.4%, 50 mEq/50 mL vial",Drugs,Vial Breakage,"Exela Pharma Sciences, LLC",
11/29/2022,Red Button Vintage Creamery,French Silk Pie,"Food & Beverages, Allergens, Bakery Product/Mix",Undeclared almond,"Rocky Mountain Pies, LLC",
12/02/2022,Purina,Purina Pro Plan Veterinary Diets EN Gastroenteric Low Fat (PPVD EN Low Fat) prescription wet dog food,"Animal & Veterinary, Pet Food",Mislabeling,Nestle Purina PetCare Company,
12/03/2022,James Farm,Frozen Raspberries,"Food & Beverages, Foodborne Illness, Fruit/Fruit Product",Hepatitis A,Exportadora Compramar,
12/06/2022,Cranberry Sweets,Mint Meltaways,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Potential or Undeclared Allergen/Peanut,Cranberry Sweets & More,
12/07/2022,Lukai,Sweetened Jujube,"Food & Beverages, Allergens, Fruit/Fruit Product",Undeclared Sulfites,Northern Food I/E Inc.,Terminated
12/11/2022,ByHeart,"Whole Nutrition Infant Formula, Milk Based Powder with Iron for 0-12months",Food & Beverages,Potential for cross-contamination with Cronobacter sakazakii,ByHeart,
12/12/2022,Detect,Over the counter Covid-19 Test,"Medical Devices, Laboratory Tests",There is an increased chance that the tests from the lot numbers listed below may give false negative results,"Detect, Inc.",
12/13/2022,Utopia Foods Inc,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes contamination,Utopia Foods Inc,
12/27/2022,Accord,Daptomycin for Injection,Drugs,Mislabeling,"Accord Healthcare, Inc",
12/27/2022,"Hospira, Inc.",Vancomycin Injection,Drugs,Presence of Visible Glass Particulates,"Hospira, Inc.",
12/27/2022,Multiple brand names,After Burn® Cream and First Aid Kits containing After Burn Cream,Drugs,Product is contaminated with Bacillus licheniformis and Bacillus sonorensis.,GFA Production,
12/29/2022,Sun Sprouts,Alfalfa Sprouts,"Food & Beverages, Foodborne Illness, Produce",Salmonella,SunSprout Enterprises,
12/29/2022,Sun Sprouts,Alfalfa Sprouts,"Food & Beverages, Foodborne Illness, Produce",Salmonella,SunSprout Enterprises,
12/30/2022,Full Circle Market & Naturally Better,Oat & Honey Organic Granola,Food & Beverages,Undeclared almonds,Garden of Light dba Bakery on Main,
12/30/2022,Tohato,Nagewa Snack,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,Daiso California LLC,
01/03/2023,Avery’s,"Gourmet Popcorn, All Flavors",Food & Beverages,"Undeclared milk, soy, peanuts, tree nuts, and sulfites",Avery’s Savory Popcorn LLC,Terminated
01/05/2023,Smith’s Medical,CADD Infusion System Infusion Sets for use with CADD pumps,Medical Devices,Potential lack of delivery or underdelivery and false no disposable attached (NDA) alarms.,Smith’s Medical,
01/09/2023,Spectrum,Epinephrine bulk API,Drugs,Product discoloration,Spectrum Laboratory Products Inc.,
01/10/2023,TOHATO and KASHIWADO,Popcorn and other snacks,Food & Beverages,"Undeclared almonds, peanuts, soybeans, milk, and shellfish","Daiso California, LLC",
01/11/2023,H-E-B Meal Simple,Chocolate Chunk Brownie,Food & Beverages,Undeclared soy and egg allergens,"Ameripack Foods, LLC",Terminated
01/13/2023,Utopia Foods Inc,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes,Utopia Foods Inc.,
01/19/2023,Fullei Fresh,Alfalfa Sprouts,"Food & Beverages, Foodborne Illness, Spices, Flavors &  Salts",Contamination with shiga toxin-producing E. coli,Fullei Fresh,Terminated
01/23/2023,"Cocoa de Aroma, Smart Sips and more",Peanut butter hot chocolate products,Food & Beverages,Undeclared Peanut Allergen,Corim Industries,Terminated
01/23/2023,SkinnyDipped,Dark Chocolate Cocoa Almond & Dark Chocolate Salted Caramel Cashew,"Food & Beverages, Allergens, Snack Food Item",Undeclared peanut allergen,SkinnyDipped,
01/25/2023,Almondy,Chocolate Cake with Daim,"Food & Beverages, Foodborne Illness, Bakery Product/Mix",Foreign Object,Almondy,
01/25/2023,Drizzilicious,Mini Rice Cake Bites and Popcorn,"Food & Beverages, Allergens, Snack Food Item",Undeclared peanut allergen,"Snack Innovations, Inc.",
01/26/2023,Joy Joys Bakery,"Ube Spanish Bread, Ube Ensaymada, and Ube Roll","Food & Beverages, Allergens, Bakery Product/Mix",Undeclared Wheat,Joy Joy’s Bakery,
01/28/2023,Rao’s,Soup labeled as Chicken & Gnocchi,Food & Beverages,Product may contain undeclared egg,"Sovos Brands Intermediate, Inc.",
01/30/2023,Matsunaga,Matsunaga Mini Shiruko Sand Biscuits,"Food & Beverages, Allergens, Snack Food Item",Undeclared Soy,Daiso California LLC,
01/30/2023,Banana Boat,Hair & Scalp Spray SPF 30,Drugs,Due to presence of benzene,Edgewell Personal Care,
02/01/2023,IBSA,TIROSINT®-SOL (levothyroxine sodium),Drugs,Subpotency,IBSA Pharma Inc.,
02/01/2023,Back to Nature,Fudge Mint Cookies,Food & Beverages,Undeclared peanuts,"B & G Foods, Inc.",
02/01/2023,Diep Bao,Baby Skin Cream,"Cosmetics, Food & Beverages, Contaminants, Skin Care Products",May contain lead,Shop Me Ca,
02/02/2023,EzriCare & Delsam Pharma,Artificial Tears Lubricant Eye Drops,Drugs,Potential microbial contamination,Global Pharma Healthcare,
02/03/2023,Multiple brands,"Ready to Eat Sandwiches, Salads, Yogurt, Wraps and related products",Food & Beverages,Potential Listeria Monocytogenes contamination,Fresh Ideation Food Group,
02/03/2023,Daiso California LLC,"Powdered apple tea, crackers, cookies & candy",Food & Beverages,Undeclared milk,Daiso California LLC,
02/08/2023,Pilgrim’s Roasted Nut’ Z,"Chocolate Toffee Almonds, Crème Brulee Cashews, Tri-Color Chocolate Expresso Bean, more","Food & Beverages, Allergens, Nuts & Nut Products","Undeclared milk, soy, walnut",Pilgrim’s Roasted Nut’ Z,Terminated
02/08/2023,Purina,Veterinary Diets EL Elemental Dry Dog Food,"Animal & Veterinary, Food & Beverages",Potentially elevated Vitamin D,Nestle Purina PetCare Company,Terminated
02/13/2023,Various,Various Snack Foods,Food & Beverages,"Undeclared milk, wheat, soy, tree nuts","Daiso California, LLC",
02/13/2023,PrimeZEN,PrimeZEN Black 6000 male enhancement capsules,Drugs,Product contains undeclared tadalafil and sildenafil,Volt Candy,
02/14/2023,Shirakiku,"Ichimi spice powder, 10.58 oz",Food & Beverages,Undeclared sesame,"Wismettac Asian Foods, Inc.",Terminated
02/16/2023,Favorite Day,Milk Chocolate Covered Caramels with Nonpareils,"Food & Beverages, Allergens, Snack Food Item",Undeclared pecan allergen,Silvestri Sweets Inc.,Terminated
02/17/2023,Xin Ao International Group Corp.,Enoki Mushrooms,Food & Beverages,Listeria monocytogenes,Xin Ao International Group Corp.,Terminated
02/20/2023,Enfamil ProSobee,Enfamil Prosobee Simply Plant-Based Infant Formula in 12.9 oz containers,"Food & Beverages, Foodborne Illness, Infant Formula & Foods",Potential Cronobacter sakazakii contamination,Reckitt,
02/21/2023,Chukar Cherry,Cherry Bombs,"Food & Beverages, Allergens, Snack Food Item",Undeclared Hazelnuts,Chukar Cherry,Terminated
02/21/2023,nanoMaterials Discovery Corporation,Hand Sanitizer,Drugs,Due to presence of methanol,nanoMaterials Discovery Corporation,
02/23/2023,Bindle Bottle LLC,Bottles,"Animal & Veterinary, Food & Beverages",Adulterated by lead,Bindle Bottle LLC,
02/24/2023,Delsam Pharma’s,Artificial Eye Ointment,Drugs,Due to possible microbial contamination,Global Pharma Healthcare,
02/24/2023,Taiwan Best Quality,Enoki Mushrooms,"Food & Beverages, Foodborne Illness, Produce",Listeria monocytogenes,Jan Fruits Inc.,
02/26/2023,GEISHA,"GEISHA Medium Shrimp, 4 oz can","Food & Beverages, Foodborne Illness, Shellfish",Potential contamination with Clostridium botulinum,"Kawasho Foods USA, Inc.",
02/28/2023,Russell Stover,Sugar Free Peanut Butter Cups,Food & Beverages,Undeclared Pecan,Russell Stover Chocolates,
02/28/2023,No Brand name Listed on Package,Seasoned fisheries and seasoned vegetable products,Food & Beverages,"Potential or Undeclared Allergen/ Crustacean Shellfish, Fish, Milk, Peanuts, Soybean, Tree Nuts, Wheat",Lemonland Food Corp,
03/01/2023,Tapas,Cocktail Shrimp,Food & Beverages,Listeria monocytogenes,Lidl US,
03/02/2023,Apotex,"Brimonidine Tartrate Ophthalmic Solution, 0.15%",Drugs,Potential lack of sterility.,Apotex Corp.,
03/03/2023,Purely Soothing,15% MSM Drops,Drugs,Non-sterility,Pharmedica USA LLC,
03/03/2023,Various,Various Snack Foods,Food & Beverages,"Undeclared Bonito, Sardines, Tuna, coconut, shea nut",Daiso California LLC,
03/10/2023,Life2000,Life2000 Ventilation System,Medical Devices,Potential for patient oxygen desaturation (low blood oxygen) events that can occur under certain conditions when the Life2000 system is connected with a third-party oxygen concentrator,Baxter International Inc.,
03/10/2023,Purina,Pro Plan Veterinary Diets EL Elemental (PPVD EL) prescription dry dog food,Animal & Veterinary,Potential Elevated Ingredient Level,Nestle Purina PetCare Company,
03/15/2023,Clio,Strawberry Granola & Greek Yogurt Parfait Bar,Food & Beverages,Listeria monocytogenes,Clio Snacks,
03/16/2023,Kirkland Signature,Frozen Organic Strawberries,Food & Beverages,Hepatitis A,"California Splendor, Inc.",Terminated
03/16/2023,Scarpetta,Pink pesto pasta sauce,Food & Beverages,Undeclared Pine Nuts,"BC Gourmet USA, Inc.",
03/17/2023,"Simply Nature, Vital Choice and others",Frozen Organic Strawberries and fruit blend,"Food & Beverages, Foodborne Illness, Fruit/Fruit Product",Hepatitis A,Scenic Fruit Company,
03/17/2023,Gerber Good Start,Powdered Infant formula,Food & Beverages,Potential Cronobacter sakazakii contamination,Perrigo Company plc,
03/20/2023,Kaytee,Wild Bird Food Birders’ Blend,"Animal & Veterinary, Pet Food",Potential Elevated Levels of Aflatoxin,Kaytee Products Inc.,
03/20/2023,Kagome,"Worcestershire Sauce, Chuno Sauce, and Take Out Tonkatsu Sauce","Food & Beverages, Allergens, Gravy/Sauces",Undeclared Soy,"Mutual Trading, Inc.",
03/22/2023,Our Family,White Hot Dog Enriched Buns,"Food & Beverages, Allergens, Bakery Product/Mix",Potential or Undeclared Allergen/Sesame,Perfection Bakeries D/B/A Aunt Millie’s,Terminated
03/22/2023,Ascend Laboratories,"Dabigatran Etexilate Capsules, USP",Drugs,Detection of N-nitroso-dabigatran (NDAB) Impurity,Ascend Laboratories LLC.,
03/23/2023,Sheila G’s,Gluten Free Reese’s Pieces Brownie Brittle,Food & Beverages,Undeclared Wheat,Second Nature Brands,Terminated
03/28/2023,"Midwest Cleaning Solutions, Clean Pro Supply, SOFT HANDS",Alcohol Antiseptic 80% Topical Solution Hand Sanitizer Non-sterile Solution; Isopropyl Alcohol Antiseptic 75% Topical Solution Hand Sanitizer Non-sterile Solution,Drugs,Due to Presence of Methanol,"Jarman’s Midwest Cleaning Systems, Inc.",
03/29/2023,Kagome,Worcester Sauce; Chuno Sauce,"Food & Beverages, Allergens, Gravy/Sauces",Undeclared Soy,"North American Food Distributing Company, Inc.",
03/29/2023,HyVee,Hamburger Chili Macaroni Skillet Meal,Food & Beverages,Undeclared Milk Allergen,Gilster-Mary Lee Corp.,Terminated
03/29/2023,Salento Organics,Various Dark Chocolate Fruit and Peanut Bites,"Food & Beverages, Allergens, Snack Food Item",Undeclared Milk,Salento Organics,
03/31/2023,Biltmore,Biltmore Smoked Wild Sockeye Salmon,"Food & Beverages, Foodborne Illness, Fish",Potential Foodborne Illness/Listeria,"Seven Seas International USA, LLC.",
03/31/2023,Camber,Atovaquone Oral Suspension,Drugs,Potential Bacillus cereus Contamination,"Camber Pharmaceuticals, Inc.",
04/03/2023,SimplyProtein,Peanut Butter Chocolate Crispy Bar,Food & Beverages,Undeclared tree nuts (cashew),Wellness Natural USA Inc.,
04/03/2023,Abbott,Readers in the FreeStyle Libre product family.,Medical Devices,Potential for battery swelling and overheating.,Abbott,
04/05/2023,Karma,White Cheddar Cheese Popped Water Lily Seeds,Food & Beverages,Undeclared milk,"Karma Spices and Trading Company, LLC",
04/05/2023,Multiple brand names,Lettuce & Salad Kits,Food & Beverages,Listeria monocytogenes,Revolution Farms,
04/07/2023,Multiple brand names,Lettuce & Salad Kits,Food & Beverages,Listeria monocytogenes,Revolution Farms,Terminated
04/07/2023,Fresh Express & Publix,Salad Kits,Food & Beverages,Listeria monocytogenes,Fresh Express Incorporated,
04/10/2023,Fresh From Meijer,Premade Salads,Food & Beverages,Potential Listeria monocytogenes contamination,Meijer,Terminated
04/12/2023,SimplyProtein,Peanut Butter Chocolate Crispy Bar,Food & Beverages,Undeclared tree nuts (cashew),Wellness Natural USA Inc.,
04/12/2023,Shirakiku,Ajhei Sanuki Udon Noodle,Food & Beverages,Undeclared fish,"Wismettac Asian Foods, Inc.",Terminated
04/13/2023,Dr. Rico Perez,"Super Kids Colostrum, Dietary Supplement",Food & Beverages,Undeclared milk,"Rico Perez Products, Inc.",
04/18/2023,Hy-Vee,Pretzels,"Food & Beverages, Allergens, Snack Food Item",Undeclared Milk,"Dakota Style Foods, Inc.",
04/18/2023,Washington Crab & Seafood Company,"Crab dip, cocktail sauce, coleslaw, crabcake","Food & Beverages, Allergens, Seafood/Seafood Product","Undeclared egg, fish, milk, soy and wheat",Washington Crab & Seafood Company,
04/19/2023,Jabsons,"Chick peas, Peanuts, Peanut Spread, Cashew Nuts","Food & Beverages, Allergens, Gravy/Sauces",Undeclared milk,JABSONS FOODS PVT LTD,
04/19/2023,Trong Foods International,Madras Curry Powder (CA RI NI AN DO “KIM TU THAP”),"Food & Beverages, Allergens, Spices, Flavors &  Salts",Undeclared peanuts,Trong Foods International,
04/20/2023,Lipari Foods,Ground cumin,"Food & Beverages, Foodborne Illness, Spices, Flavors &  Salts",Salmonella,Lipari Foods,
04/21/2023,HighKey,"Mini treats, Banana Nut Flavor & Birthday Cake Flavor","Food & Beverages, Allergens, Bakery Product/Mix",Undeclared egg,Summit Naturals,
04/22/2023,"Dakota Style, Best Choice and more",Pretzels,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,"Dakota Style Foods, Inc.",
04/22/2023,GEISHA,"GEISHA Medium Shrimp, 4 oz can","Food & Beverages, Foodborne Illness, Shellfish",Potential contamination with Clostridium botulinum,"Kawasho Foods USA, Inc.",
04/25/2023,Ellenos,Greek Yogurt,Food & Beverages,Product may contain undeclared egg allergen,Ellenos Real Greek LLC,
04/25/2023,Backpacker’s Pantry,Blueberry Peach Crisp,Food & Beverages,Product may contain undeclared almonds,American Outdoor Products,
05/04/2023,Numerous Brands,Various human and animal drug products,Drugs,"As a result of a bankruptcy, the firm is removing several products from the market due to the discontinuation of the Quality program which would result in the company’s inability to assure that products meet the identity, strength, quality, and purity cha",Akorn Operating Company LLC,
04/26/2023,"Pro Power Knight Plus, NUX, Dynamite Super",Male enhancement capsules,"Drugs, Over-the-Counter Drugs",Product contains undeclared tadalafil and sildenafil,"Gadget Island, Inc.",
04/27/2023,No Brand Name,"Turkey and Havarti Sandwich, 8.55 oz",Food & Beverages,Undeclared Sesame Allergen,"GHSW, LLC",
04/27/2023,"GH Foods CA, LLC",Turkey and Havarti Sandwich,"Food & Beverages, Allergens, Grain/Grain Product",Product may contain undeclared sesame in bread,"GH Foods CA, LLC",
04/27/2023,"Truvy, TruVision, reFORM",Various Dietary Supplement Capsules,Food & Beverages,"Unapproved Hordenine and octodrine/DMHA (1,5-dimethylhexylamine)",TruVision Health,
04/28/2023,No Brand Name,Turkey and Havarti Sandwich,Food & Beverages,"Undeclared allergen, sesame","GHGA, LLC",
04/28/2023,Mayne Pharma Inc.,FENTANYL Buccal Tablets CII,Drugs,Safety updates were omitted in the Product Insert/Medication Guide (MG),Teva Pharmaceuticals USA,
04/28/2023,Gold Medal,"All Purpose Flour, bleached and unbleached","Food & Beverages, Foodborne Illness, Bakery Product/Mix",Potential to be contaminated with Salmonella,General Mills,
05/02/2023,Culinaria,Nut Mixes,Food & Beverages,Undeclared almonds,"Schnucks Markets, Inc.",
05/03/2023,Mighty Sesame Co.,Organic Tahini,"Food & Beverages, Foodborne Illness, Dressing/Condiment",Potential Foodborne Illness/Salmonella,Rushdi Food Industries,
05/04/2023,Advil,Over-The-Counter Drugs,"Drugs, Over-the-Counter Drugs",Product was stored outside of labeled temperature requirements.,Family Dollar,
05/04/2023,Lay’s,Classic potato chips,"Food & Beverages, Allergens, Snack Food Item",Undeclared milk,Frito-Lay,
05/05/2023,Pilot,COVID-19 At-Home Test,Medical Devices,Due to microbial contamination in the liquid buffer solution.,"SD Biosensor, Inc.",
05/09/2023,Trader Joe’s,Genova Pesto Packaged in Tubs Marked Hummus Dip,Food & Beverages,Product may contain undeclared milk and walnuts,Bakkavor USA,
05/09/2023,Nature’s Wonder & Chang Farm,Bean Sprouts,Food & Beverages,Listeria monocytogenes,Chang Farm,
05/11/2023,Ah,Black Fungus (Nam Meo),Food & Beverages,Salmonella,"AH USA Group, Inc.",
05/12/2023,lēf Farms,“Spice” packaged salad greens,Food & Beverages,Recall Cancellation Due to False Positive,lēf Farms,
05/12/2023,Walnut.,Wearable Smart Thermometer,Medical Devices,"Potential for injuries, including skin burns & irritation","BearCare, Inc",
05/14/2023,Gerber Good Start,Powdered Infant Formula,Food & Beverages,Potential Cronobacter sakazakii contamination,"Associated Wholesale Grocers, Inc.",
05/18/2023,Hu,Vanilla Crunch Dark Chocolate Bar,"Food & Beverages, Allergens, Snack Food Item","Undeclared tree nuts (hazelnut, cashew, and almond)",Hu Products,
05/18/2023,Werner,Chile Cacahuates Japones,Food & Beverages,Undeclared peanut,Werner Gourmet Meat Snacks,
05/18/2023,Nature’s Energy,Children’s Chewable Colostrum,Food & Beverages,Undeclared milk,Nature’s Energy,
05/19/2023,G-SUPRESS DX,"Cough Suppressant, expectorant, nasal decongestant pediatric drops","Drugs, Over-the-Counter Drugs",Packaging may contain incorrect product,NOVIS PR LLC,
05/19/2023,G-SUPRESS DX,"Cough Suppressant, expectorant, nasal decongestant pediatric drops","Drugs, Over-the-Counter Drugs",Device & Drug Safety/Mislabeling,NOVIS PR LLC,
05/22/2023,TETAS MIREYA,"TETAS MIREYA SABOR NUTELLA, TODDY, FERRERO, GALLETA MARIA & GALLETA OREO","Food & Beverages, Allergens, Snack Food Item","Undeclared Soy, Walnuts, and Wheat",DIBE LLC,
05/23/2023,Van Leeuwen,BROWN SUGAR CHUNK WITH COOKIE DOUGH & BROWNIES FRENCH ICE CREAM,"Food & Beverages, Allergens, Ice Cream/Frozen Dairy",Undeclared walnuts,Van Leeuwen Ice Cream LLC,
05/23/2023,"Meijer Express, Frederik's by Meijer",Dark Chocolate Almonds,"Food & Beverages, Allergens, Snack Food Item",Undeclared Milk,Meijer,
05/24/2023,TastyKake,Chocolate Kandy Kakes,Food & Beverages,Undeclared peanuts,Flowers Foods,
05/25/2023,Texas Pete,Buffalo Wing Sauce,Food & Beverages,Undeclared Soy,T.W. Garner Food Company,
05/25/2023,Wegmans,Penne Rigate Mozzarella Salad,Food & Beverages,Undeclared Allergen,"A.S.K. Foods, Inc.",
07/19/2022,Ready Meals,Seafood Items,"Food & Beverages, Allergens, Seafood/Seafood Product","Undeclared allergens (fish, crustacean, egg, wheat, soy)",Albertsons Companies,Terminated
07/21/2022,Multiple brands,Multiple OTC Medical Products,Drugs,Products stored outside of temperature requirements,Family Dollar,
07/21/2022,Spring Green Flavor,Chopped Egg and Vegetables,Food & Beverages,Potential Listeria monocytogenes,"Eat Just, Inc.",Terminated
07/22/2022,Enjoy Life & Trader Joe’s,Soft Baked Cookies,"Food & Beverages, Contaminants, Snack Food Item",Potential presence of plastic pieces,"Enjoy Life Natural Brands, LLC",
07/22/2022,Natural Grocers,Organic Amaranth Grain,"Food & Beverages, Foodborne Illness",Potential Salmonella contamination,"Vitamin Cottage Natural Food Markets, Inc.",Terminated
07/23/2022,Aivia,Whey Protein & Power Herbs,"Food & Beverages, Allergens, Meal Replacements",Undeclared milk,Nature’s Sunshine Products Inc.,
07/25/2022,Sustango,Dietary Supplement for Male Enhancement,Drugs,Undeclared Tadalafil,Ultra Supplement LLC,
07/26/2022,Multiple Brands,Magnesium Citrate Saline Laxative Oral Solution,Drugs,Potential Gluconacetobacter liquefaciens contamination,"Vi-Jon, LLC",
07/26/2022,Marutomo,Dashi Soup Base,Food & Beverages,Undeclared Wheat and Soy,"Wismettac Asian Foods, Inc.",
07/28/2022,Milk chocolate covered blueberries,Milk chocolate covered blueberries,"Food & Beverages, Allergens, Snack Food Item",Undeclared almonds,Wilbur’s of Maine Chocolate Confections,Terminated
07/29/2022,Banana Boat,Hair & scalp sunscreen spray,Drugs,Due to presence of benzene,Edgewell Personal Care Company,
07/29/2022,"Lyons, Pirq, Glucerna, various",Nutritional and beverage products,"Food & Beverages, Foodborne Illness, Meal Replacements","Due to the potential for microbial contamination, including Cronobacter sakazakii",Lyons Magnus LLC,
08/01/2022,H-E-B,Creamy Creations Light Mint Chocolate Chip Ice Cream,Food & Beverages,Undeclared Wheat,H-E-B,
08/02/2022,SANGTER,"SANGTER Energy Supplement, 3000mg",Drugs,Undeclared Sildenafil,"Distributor RFR, LLC",
08/04/2022,Major,"Milk of Magnesia, Magnisium Hydroxide/Aluminum Hydroxide/Simethicone Oral Suspension",Drugs,Microbial contamination,"Plastikon Healthcare, LLC",
08/04/2022,Multiple brand names,Magnesium Citrate Saline Laxative Oral Solution,Drugs,Microbial contamination with Gluconacetobacter liquefaciens,"Vi-Jon, LLC",
08/05/2022,That’s it,Dark Chocolate Truffles,"Food & Beverages, Allergens, Chocolate/Cocoa Product",Undeclared milk,"That’s it Nutrition, LLC",
08/05/2022,Farmer’s,2% Reduced Fat Chocolate Milk,Food & Beverages,Product has the potential to be contaminated with undeclared egg.,Royal Crest Dairy,Terminated
08/16/2022,"Lyons, Barista, Ready Care, various",Nutritional and beverage products,"Food & Beverages, Foodborne Illness, Meal Replacements","Due to the potential for microbial contamination, including Cronobacter sakazakii and Clostridium botulinum",Lyons Magnus LLC,
08/12/2022,EZ Noble Sushi,Sushi products,Food & Beverages,"Unlabeled eggs, milk and wheat",EZ Noble Sushi,Terminated
08/13/2022,King’s Hawaiian,"Pretzel Slider Buns, Pretzel Hamburger Buns and Pretzel Bites",Food & Beverages,"Due to the potential for microbial contamination, including Cronobacter sakazakii and Clostridium botulinum",King’s Hawaiian,
08/14/2022,Fifth Season,Crunchy sesame salad kit,Food & Beverages,Undeclared eggs and milk,Fifth Season,Terminated
08/16/2022,The GFB,Dark Chocolate coconut bites,Food & Beverages,Undeclared cashews,The Gluten Free Bar,
08/19/2022,Wegmans,Lemon Dill Finishing Butter,Food & Beverages,Listeria monocytogenes,Epicurean Butter LLC,Terminated
08/22/2022,Hospira,"Propofol Injection Emulsion, USP",Drugs,Potential presence of visible particulate,"Hospira, Inc., a Pfizer Company",
08/23/2022,Great Value,Walnut Chopped Pouches,Food & Beverages,Mislabeling,South Georgia Pecan Co.,
08/23/2022,Mighty Sesame,Organic Tahini (Squeezable),Food & Beverages,Potential to be contaminated with Salmonella,Rushdi Food Industries,
08/25/2022,Market Pantry,White Fudge Animal Cookies,Food & Beverages,Foodborne Foreign Object,D. F. Stauffer Biscuit Co.,Terminated
08/25/2022,Piantedosi,"Various Dinner rolls, sandwich rolls and bun products","Food & Beverages, Foodborne Illness, Bakery Product/Mix",Cronobacter sakazakii and/or Clostridium botulinum,"Piantedosi Baking Company, Inc.",Terminated
08/26/2022,Whole Foods Market 365,Organic Creamy Caesar Dressing,Food & Beverages,Undeclared Soy and Wheat,Van Law Food Products Inc.,
08/29/2022,Keswick Creamery,Various cheeses,Food & Beverages,Potential to be contaminated with Listeria monocytogenes,Keswick Creamery,Terminated
08/30/2022,Three Golden Coins,Dried whole or sliced mushrooms,Food & Beverages,Potential to be contaminated with Salmonella,"Tai Phat Wholesalers, LLC",Terminated
08/31/2022,ReadyMeals,Cooked Shrimp with Cocktail Sauce and Snow Crab Legs Imitation Surimi,Food & Beverages,Undeclared fish allergen,Albertsons Companies,Terminated
09/01/2022,GreenWise,GreenWise Animal Crackers,Food & Beverages,Undeclared coconut,Toufayan Bakeries,Terminated
09/02/2022,St. James Smokehouse,Seafood/Fish,"Food & Beverages, Foodborne Illness, Fish",Listeria monocytogenes,St. James Smokehouse,Terminated
09/06/2022,Philips,Certain CPAP or Bi-Level PAP therapy masks with magnetic headgear clips or straps,Medical Devices,potential risk of serious injury,Royal Philips’ subsidiary Philips Respironics,
09/09/2022,ANKUR,Golden Raisin,Food & Beverages,Undeclared Sulfites,Muktanand Foods Inc.,Terminated
09/16/2022,Colgate,Toothpaste,Drugs,Product was stored outside of labeled temperature requirements,Family Dollar,
09/16/2022,Multiple brand names,Various OTC medical products,Medical Devices,Product was stored outside of labeled temperature requirements.,Family Dollar,
09/19/2022,Antica Farmacista,Ocean Citron Hand Sanitizer,Drugs,Product contains benzene,Salon Technologies International Inc.,
09/20/2022,GHGA,Ready-To-Eat Vegetable Products,Food & Beverages,Listeria monocytogenes,GHGA,
09/21/2022,Melissa’s,Dutch Red Potatoes with Dijon Mustard Sauce,"Food & Beverages, Allergens, Gravy/Sauces",Undeclared Egg,World Variety Produce Inc.,
09/23/2022,Arcade Snacks,Candy Corn,Food & Beverages,Undeclared Egg,Arcade Snacks,Terminated
09/23/2022,Whole Foods Market 365,Organic Creamy Caesar Dressing,Food & Beverages,Undeclared Soy & Wheat,VanLaw Food Products Inc.,
09/24/2022,Tuscan Garden,Restaurant Style Italian Dressing,Food & Beverages,Undeclared Allergen/Wheat and Soy,"TreeHouse Foods, Inc.",Terminated
09/27/2022,Auromedics,Acyclovir Intravenous Product,Drugs,"Presence of a dark red, brown and black particulate inside the vial",Eugia US LLC,
09/28/2022,My Stellar Lifestyle,Wonder Pill Capsules,Drugs,Product contains undeclared tadalafil,Proper Trade LLC/My Stellar Lifestyle,
02/06/2022,"El Leoncito, El Super Leon brands",Saladitos Dry Salted Plums with and without Chili,Food & Beverages,Potential to be contaminated with lead,El Super Leon Ponchin Snacks Inc.,
02/08/2022,Your Favorite Shop,The Red Pill,Drugs,Undeclared Tadalafil,Your Favorite Shop,Terminated
02/08/2022,MAC DADDY,MAC DADDY RED and PURPLE DIETARY SUPPLEMENTS,Drugs,Undeclared Sildenafil and/or Tadalafil,ABC SALES 1 INC,Terminated
02/09/2022,Celebrate Today,Red Mammoth capsules,Drugs,Undeclared Sildenafil and Tadalafil,Celebrate Today,
02/09/2022,Jan Fruits Inc.,ENOKI MUSHROOM,"Food & Beverages, Foodborne Illness",Listeria monocytogenes,Jan Fruits Inc.,Terminated
02/10/2022,Concord Farms,Enoki Mushrooms,Food & Beverages,Listeria monocytogenes,Concord Farms,Terminated
02/10/2022,Positive-Health,Rise Up Red Edition Capsules,Drugs,Undeclared Tadalafil,Positive-Health,Terminated
02/10/2022,American Gourmet,Saladito (Dried Salted Plums),"Food & Beverages, Contaminants, Snack Food Item",Potential to be contaminated with lead,American Gourmet,Terminated
02/12/2022,"Royal Ice Cream, Batch, Ronny Brook, and Others",Ice Cream Products,"Food & Beverages, Foodborne Illness, Ice Cream/Frozen Dairy",Listeria monocytogenes,"The Royal Ice Cream Company, Inc.",
